148x - Harry - [('Harry', 'NNP')]
67x - Ron - [('Ron', 'NNP')]
33x - Hermione - [('Hermione', 'NNP')]
28x - Wood - [('Wood', 'NNP')]
28x - Snape - [('Snape', 'NNP')]
26x - Professor - [('Professor', 'NNP')]
18x - Gryffindor - [('Gryffindor', 'NNP')]
18x - Hagrid - [('Hagrid', 'NNP')]
16x - the Quaffle - [('the', 'DT'), ('Quaffle', 'NNP')]
13x - Flint - [('Flint', 'NNP')]
12x - McGonagall - [('McGonagall', 'NNP')]
9x - Malfoy - [('Malfoy', 'NNP')]
9x - Thousand - [('Thousand', 'NNP')]
9x - the Snitch - [('the', 'DT'), ('Snitch', 'NNP')]
8x - Seamus - [('Seamus', 'NNP')]
8x - Granger - [('Granger', 'NNP')]
7x - Potter - [('Potter', 'NNP')]
7x - Quidditch - [('Quidditch', 'NNP')]
7x - the Bludgers - [('the', 'DT'), ('Bludgers', 'NNPS')]
7x - Dean - [('Dean', 'NNP')]
6x - Flitwick - [('Flitwick', 'NNP')]
6x - Seeker - [('Seeker', 'NNP')]
6x - Neville - [('Neville', 'NNP')]
6x - Dumbledore - [('Dumbledore', 'NNP')]
6x - Slytherin - [('Slytherin', 'NNP')]
5x - the Quidditch - [('the', 'DT'), ('Quidditch', 'NNP')]
5x - Weasley - [('Weasley', 'NNP')]
5x - Fred - [('Fred', 'NNP')]
5x - Marcus - [('Marcus', 'NNP')]
5x - Lee - [('Lee', 'NNP')]
4x - Hogwarts - [('Hogwarts', 'NNP')]
4x - Hall - [('Hall', 'NNP')]
4x - Keeper - [('Keeper', 'NNP')]
4x - Miss - [('Miss', 'NNP')]
4x - Quirrell - [('Quirrell', 'NNP')]
4x - Chaser - [('Chaser', 'NNP')]
4x - Angelina - [('Angelina', 'NNP')]
4x - Johnson - [('Johnson', 'NNP')]
4x - Jordan - [('Jordan', 'NNP')]
3x - the Great - [('the', 'DT'), ('Great', 'NNP')]
3x - Oliver - [('Oliver', 'NNP')]
3x - Nimbus - [('Nimbus', 'NNP')]
3x - the Weasleys - [('the', 'DT'), ('Weasleys', 'NNP')]
3x - Halloween - [('Halloween', 'NNP')]
3x - Percy - [('Percy', 'NNP')]
3x - the Ages - [('the', 'DT'), ('Ages', 'NNP')]
3x - George - [('George', 'NNP')]
3x - Madam - [('Madam', 'NNP')]
3x - Hooch - [('Hooch', 'NNP')]
3x - Bell - [('Bell', 'NNP')]
3x - a Bludger - [('a', 'DT'), ('Bludger', 'NNP')]
3x - the Gryffindor - [('the', 'DT'), ('Gryffindor', 'NNP')]
2x - THE - [('THE', 'NNP')]
2x - A Nimbus - [('A', 'DT'), ('Nimbus', 'NNP')]
2x - a Nimbus - [('a', 'DT'), ('Nimbus', 'NNP')]
2x - the Nimbus - [('the', 'DT'), ('Nimbus', 'NNP')]
2x - The Chasers - [('The', 'DT'), ('Chasers', 'NNP')]
2x - the Keeper - [('the', 'DT'), ('Keeper', 'NNP')]
2x - Chasers - [('Chasers', 'NNP')]
2x - Okay - [('Okay', 'NNP')]
2x - the Golden - [('the', 'DT'), ('Golden', 'NNP')]
2x - Snitch - [('Snitch', 'NNP')]
2x - the Chasers - [('the', 'DT'), ('Chasers', 'NNP')]
2x - Quaffle - [('Quaffle', 'NNP')]
2x - Seekers - [('Seekers', 'NNP')]
2x - Charms - [('Charms', 'NNP')]
2x - Finnigan - [('Finnigan', 'NNP')]
2x - Wingardium - [('Wingardium', 'NNP')]
2x - Leviosa - [('Leviosa', 'NNP')]
2x - the Halloween - [('the', 'DT'), ('Halloween', 'NNP')]
"2x - Harry's - [(""Harry's"", 'NNP')]"
2x - first Quidditch - [('first', 'JJ'), ('Quidditch', 'NNP')]
2x - Filch - [('Filch', 'NNP')]
2x - Did - [('Did', 'NNP')]
2x - President - [('President', 'NNP')]
2x - Captain - [('Captain', 'NNP')]
2x - Spinnet - [('Spinnet', 'NNP')]
2x - the Slytherins - [('the', 'DT'), ('Slytherins', 'NNP')]
2x - Higgs - [('Higgs', 'NNP')]
2x - the Gryffindors - [('the', 'DT'), ('Gryffindors', 'NNP')]
2x - Fluffy - [('Fluffy', 'NNP')]
2x - Nicolas - [('Nicolas', 'NNP')]
2x - Flamel - [('Flamel', 'NNP')]
1x - TEN - [('TEN', 'NNP')]
1x - HALLOWEEN - [('HALLOWEEN', 'NNP')]
1x - Gringotts - [('Gringotts', 'NNP')]
1x - Neither Neville - [('Neither', 'DT'), ('Neville', 'NNP')]
1x - All Neville - [('All', 'DT'), ('Neville', 'NNP')]
1x - DO - [('DO', 'NNP')]
1x - NOT - [('NOT', 'NNP')]
1x - PARCEL - [('PARCEL', 'NNP')]
1x - AT - [('AT', 'NNP')]
1x - TABLE - [('TABLE', 'NNP')]
1x - new Nimbus - [('new', 'JJ'), ('Nimbus', 'NNP')]
1x - Crabbe - [('Crabbe', 'NNP')]
1x - Goyle - [('Goyle', 'NNP')]
1x - a Comet - [('a', 'DT'), ('Comet', 'NNP')]
1x - Sixty - [('Sixty', 'NNP')]
"1x - Malfoy's - [(""Malfoy's"", 'NNP')]"
"1x - Neville's - [(""Neville's"", 'NNP')]"
1x - Remembrall - [('Remembrall', 'NNP')]
1x - Wow - [('Wow', 'NNP')]
1x - Muggle - [('Muggle', 'NNP')]
1x - The Nimbus - [('The', 'DT'), ('Nimbus', 'NNP')]
1x - Hey - [('Hey', 'NNP')]
"1x - -I'm - [(""-I'm"", 'NNP')]"
